CustomerID,Cluster
C0001,1
C0002,1
C0003,3
C0004,0
C0005,3
C0006,2
C0007,3
C0008,0
C0009,4
C0010,1
C0011,1
C0012,0
C0013,0
C0014,4
C0015,3
C0016,2
C0017,0
C0018,2
C0019,1
C0020,3
C0021,0
C0022,2
C0023,2
C0024,1
C0025,4
C0026,2
C0027,3
C0028,0
C0029,1
C0030,1
C0031,1
C0032,4
C0033,4
C0034,1
C0035,3
C0036,3
C0037,2
C0038,1
C0039,1
C0040,2
C0041,0
C0042,3
C0043,4
C0044,2
C0045,0
C0046,0
C0047,1
C0048,2
C0049,1
C0050,2
C0051,0
C0052,3
C0053,2
C0054,0
C0055,1
C0056,1
C0057,2
C0058,4
C0059,0
C0060,4
C0061,3
C0062,3
C0063,3
C0064,2
C0065,0
C0066,2
C0067,1
C0068,0
C0069,1
C0070,3
C0071,4
C0072,1
C0073,3
C0074,2
C0075,0
C0076,1
C0077,4
C0078,3
C0079,2
C0080,3
C0081,1
C0082,0
C0083,4
C0084,0
C0085,3
C0086,1
C0087,0
C0088,1
C0089,2
C0090,1
C0091,1
C0092,3
C0093,0
C0094,4
C0095,3
C0096,2
C0097,4
C0098,1
C0099,0
C0100,2
C0101,0
C0102,0
C0103,1
C0104,0
C0105,2
C0106,1
C0107,1
C0108,0
C0109,0
C0110,3
C0111,1
C0112,3
C0113,0
C0114,2
C0115,2
C0116,1
C0117,2
C0118,1
C0119,4
C0120,3
C0121,4
C0122,0
C0123,3
C0124,1
C0125,3
C0126,2
C0127,1
C0128,4
C0129,3
C0130,3
C0131,3
C0132,3
C0133,3
C0134,1
C0135,3
C0136,1
C0137,1
C0138,2
C0139,1
C0140,3
C0141,0
C0142,3
C0143,0
C0144,3
C0145,0
C0146,3
C0147,1
C0148,2
C0149,2
C0150,3
C0151,4
C0152,1
C0153,2
C0154,1
C0155,0
C0156,0
C0157,1
C0158,2
C0159,3
C0160,1
C0161,1
C0162,0
C0163,2
C0164,1
C0165,0
C0166,3
C0167,3
C0168,2
C0169,2
C0170,2
C0171,2
C0172,1
C0173,0
C0174,1
C0175,0
C0176,3
C0177,3
C0178,3
C0179,1
C0180,4
C0181,1
C0182,2
C0183,2
C0184,1
C0185,2
C0186,3
C0187,2
C0188,0
C0189,1
C0190,1
C0191,1
C0192,1
C0193,3
C0194,1
C0195,1
C0196,2
C0197,3
C0198,4
C0199,1
C0200,2
